Exoplanet,Host star,a,Ds,Dp,Diameter of planet in terms of Earth's diameter,Diameter of star in terms of Sun's diameter,Ds/Dp,d/Ds
CoRoT-7 b,CoRoT-7,,1.528,,1.528,0,0,#DIV/0!
CoRoT-7 b,CoRoT-7,0.0169,1.861,0.96,1.861,0.96,56.29237662,1.891916756
CoRoT-7 c,CoRoT-7,,,,0,0,#DIV/0!,#DIV/0!
CoRoT-7 c,CoRoT-7,0.045,,0.86,0,0.86,#DIV/0!,5.623421211
CoRoT-7 c,CoRoT-7,0.046,,0.86,0,0.86,#DIV/0!,5.748386127
CoRoT-7 d,CoRoT-7,,,,0,0,#DIV/0!,#DIV/0!
CoRoT-8 b,CoRoT-8,0.0633,7.981,0.9,7.981,0.9,12.30580201,7.558711207
CoRoT-8 b,CoRoT-8,0.0636,6.938,0.8,6.938,0.8,12.58289047,8.543851293
CoRoT-8 b,CoRoT-8,0.06339,6.389,0.77,6.389,0.77,13.15172023,8.847418663
CoRoT-8 b,CoRoT-8,0.063,6.39,0.77,6.39,0.77,13.14966206,8.792985893
CoRoT-9 b,CoRoT-9,0.4029,11.949,0.96,11.949,0.96,8.767270306,45.10374327
CoRoT-9 b,CoRoT-9,0.407,11.77,0.94,11.77,0.94,8.715175067,46.53214875
CoRoT-9 b,CoRoT-9,,,,0,0,#DIV/0!,#DIV/0!
CoRoT-9 b,CoRoT-9,0.4027,11.624,0.94,11.624,0.94,8.824639585,46.04053146
CoRoT-9 b,CoRoT-9,0.4021,11.949,0.96,11.949,0.96,8.767270306,45.01418508
CoRoTID 223977153 b,CoRoTID 223977153,0.071,6.389,0.79,6.389,0.79,13.49332335,9.658680707
CoRoTID 223977153 b,CoRoTID 223977153,,,0.79,0,0.79,#DIV/0!,0
DE CVn b,DE CVn,5.75,,,0,0,#DIV/0!,#DIV/0!
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,0.36,,,0,0,#DIV/0!,#DIV/0!
DH Tau b,DH Tau,330,,0.27,0,0.27,#DIV/0!,131352.0115
DH Tau b,DH Tau,,30.264,1.37,30.264,1.37,4.939909169,0
DMPP-1 b,DMPP-1,0.1462,,1.26,0,1.26,#DIV/0!,12.46991174
DMPP-1 c,DMPP-1,0.0733,,1.26,0,1.26,#DIV/0!,6.252014573
DMPP-1 d,DMPP-1,0.0422,,1.26,0,1.26,#DIV/0!,3.599386289
DMPP-1 e,DMPP-1,0.0651,,1.26,0,1.26,#DIV/0!,5.552607759
DMPP-2 b,DMPP-2,0.0664,,1.78,0,1.78,#DIV/0!,4.008986827
DMPP-3 A b,DMPP-3 A,0.0662,,0.91,0,0.91,#DIV/0!,7.81813471
DMPP-3 A b,DMPP-3 A,0.0662,,,0,0,#DIV/0!,#DIV/0!
DP Leo b,DP Leo,8.6,,,0,0,#DIV/0!,#DIV/0!
DP Leo b,DP Leo,8.19,,,0,0,#DIV/0!,#DIV/0!
DS Tuc A b,DS Tuc A,,5.7,0.96,5.7,0.96,18.37896717,0
DS Tuc A b,DS Tuc A,,5.63,0.87,5.63,0.87,16.86302883,0
DS Tuc A b,DS Tuc A,,6.496,0.95,6.496,0.95,15.9588765,0
EPIC 201170410.02,EPIC 201170410,0.0349,1.047,0.28,1.047,0.28,29.18341254,13.39534637
EPIC 201238110 b,EPIC 201238110,,1.87,,1.87,0,0,#DIV/0!
EPIC 201238110 b,EPIC 201238110,,2.2,0.37,2.2,0.37,18.35286069,0
EPIC 201427007 b,EPIC 201427007,,1.5,0.94,1.5,0.94,68.38507369,0
EPIC 201497682 b,EPIC 201497682,,0.692,,0.692,0,0,#DIV/0!
EPIC 201595106 b,EPIC 201595106,,1.3,0.93,1.3,0.93,78.06643028,0
EPIC 201595106 b,EPIC 201595106,,1.406,0.93,1.406,0.93,72.18090993,0
EPIC 201595106 b,EPIC 201595106,,1.2,0.99,1.2,0.99,90.02822201,0
EPIC 201615463 c,K2-166,,1.22,,1.22,0,0,#DIV/0!
EPIC 201754305 d,K2-16,,1.03,,1.03,0,0,#DIV/0!
EPIC 201757695.02,EPIC 201757695,0.0296,0.908,0.66,0.908,0.66,79.32001939,4.819858934
EPIC 201833600 c,K2-50,,1,,1,0,0,#DIV/0!
EPIC 201833600 c,K2-50,,1.48,0.63,1.48,0.63,46.45190816,0
EPIC 201841433 b,EPIC 201841433,,1.41,0.63,1.41,0.63,48.75803126,0
EPIC 201841433 b,EPIC 201841433,0.035,1.04,0.63,1.04,0.63,66.10463854,5.970545977
EPIC 201841433 b,EPIC 201841433,,1.1,,1.1,0,0,#DIV/0!
EPIC 205950854 c,K2-168,,1.31,0.83,1.31,0.83,69.14034168,0
EPIC 205950854 c,K2-168,,1.62,0.9,1.62,0.9,60.62506533,0
EPIC 205950854 c,K2-168,,1.18,,1.18,0,0,#DIV/0!
EPIC 206024342 b,EPIC 206024342,,1.7,,1.7,0,0,#DIV/0!
EPIC 206024342 b,EPIC 206024342,,1.44,0.82,1.44,0.82,62.14069196,0
EPIC 206024342 c,EPIC 206024342,,1.35,0.94,1.35,0.94,75.98341521,0
EPIC 206024342 c,EPIC 206024342,,1.16,0.82,1.16,0.82,77.14016933,0
EPIC 206024342 c,EPIC 206024342,,1.4,1.1,1.4,1.1,85.74116382,0
EPIC 206024342 d,EPIC 206024342,,2.94,0.94,2.94,0.94,34.89034372,0
EPIC 206024342 d,EPIC 206024342,,4,1.5,4,1.5,40.9219191,0
EPIC 206024342 d,EPIC 206024342,,2.52,0.82,2.52,0.82,35.50896684,0
EPIC 206024342 d,EPIC 206024342,,2.6,1.1,2.6,1.1,46.16831898,0
EPIC 206032309 b,EPIC 206032309,,1.01,,1.01,0,0,#DIV/0!
EPIC 206042996 b,EPIC 206042996,,1.7,0.5,1.7,0.5,32.09562282,0
EPIC 206042996 b,EPIC 206042996,,1.62,,1.62,0,0,#DIV/0!
EPIC 206042996 b,EPIC 206042996,,3.32,0.67,3.32,0.67,22.02223759,0
EPIC 206042996 c,EPIC 206042996,,1.45,0.57,1.45,0.57,42.89746002,0
EPIC 206042996 c,EPIC 206042996,,1.2,0.5,1.2,0.5,45.468799,0
EPIC 206215704 b,EPIC 206215704,,2,0.37,2,0.37,20.18814675,0
EPIC 206215704 b,EPIC 206215704,,1,0.25,1,0.25,27.2812794,0
EPIC 206215704 b,EPIC 206215704,,0.9,,0.9,0,0,#DIV/0!
EPIC 206317286 b,EPIC 206317286,,1.22,0.67,1.22,0.67,59.92936786,0
EPIC 206317286 b,EPIC 206317286,,0.96,,0.96,0,0,#DIV/0!
EPIC 206317286 c,EPIC 206317286,,2.15,0.67,2.15,0.67,34.00643199,0
EPIC 206317286 c,EPIC 206317286,,2.63,0.73,2.63,0.73,30.28948131,0
EPIC 206317286 c,EPIC 206317286,,2.094,0.76,2.094,0.76,39.60605987,0
EPIC 211822797 b,EPIC 211822797,,,0.6,0,0.6,#DIV/0!,0
EPIC 211822797 b,EPIC 211822797,,2.2,0.59,2.2,0.59,29.26537245,0
EPIC 211822797 b,EPIC 211822797,0.131,1.98,0.57,1.98,0.57,31.41480658,24.69920599
EPIC 211822797 b,EPIC 211822797,,,0.6,0,0.6,#DIV/0!,0
EPIC 211822797 b,EPIC 211822797,,2.18,0.64,2.18,0.64,32.03673177,0
EPIC 211822797 b,EPIC 211822797,0.1195,1.92,0.58,1.92,0.58,32.96487927,22.14249034
EPIC 211945201 b,EPIC 211945201,,,1.36,0,1.36,#DIV/0!,0
EPIC 211945201 b,EPIC 211945201,,5.847,1.41,5.847,1.41,26.31544652,0
EPIC 211945201 b,EPIC 211945201,0.148,6.12,1.38,6.12,1.38,24.60664416,11.52574963
EPIC 211945201 b,EPIC 211945201,0.1493,5.76,1.39,5.76,1.39,26.33401275,11.54334191
EPIC 211945201 b,EPIC 211945201,,,1.36,0,1.36,#DIV/0!,0
EPIC 211945201 b,EPIC 211945201,,5.96,1.4,5.96,1.4,25.63341688,0
EPIC 211945201 b,EPIC 211945201,,6,1.48,6,1.48,26.91752901,0
EPIC 211945201 b,EPIC 211945201,,5.507,1.36,5.507,1.36,26.94936625,0
EPIC 211945201 b,EPIC 211945201,,6.8,1.49,6.8,1.49,23.911239,0
EPIC 212297394 b,EPIC 212297394,,1.83,0.75,1.83,0.75,44.72340885,0
EPIC 212297394 b,EPIC 212297394,,1.48,0.8,1.48,0.8,58.98655005,0
EPIC 212297394 b,EPIC 212297394,,1.323,,1.323,0,0,#DIV/0!
EPIC 212297394 c,EPIC 212297394,,2.29,0.75,2.29,0.75,35.73966733,0
EPIC 212297394 c,EPIC 212297394,,,0.78,0,0.78,#DIV/0!,0
EPIC 212297394 c,EPIC 212297394,,2.27,0.8,2.27,0.8,38.45819122,0
EPIC 212424622 b,EPIC 212424622,,2.21,1.22,2.21,1.22,60.24101514,0
EPIC 212424622 b,EPIC 212424622,,2.17,,2.17,0,0,#DIV/0!
EPIC 212499991 b,EPIC 212499991,,1.6,,1.6,0,0,#DIV/0!
EPIC 212587672 b,EPIC 212587672,,1.39,0.98,1.39,0.98,76.93713327,0
EPIC 212587672 b,EPIC 212587672,,1.12,,1.12,0,0,#DIV/0!
EPIC 212587672 b,EPIC 212587672,,1.26,0.98,1.26,0.98,84.87509146,0
EPIC 212587672 c,EPIC 212587672,,,0.95,0,0.95,#DIV/0!,0
EPIC 212587672 c,EPIC 212587672,,,0.95,0,0.95,#DIV/0!,0
EPIC 212587672 c,EPIC 212587672,,2.245,0.95,2.245,0.95,46.17766669,0
EPIC 212587672 c,EPIC 212587672,,2.31,0.98,2.31,0.98,46.29550443,0
EPIC 212587672 c,EPIC 212587672,,2.3,0.95,2.3,0.95,45.07341814,0
EPIC 212587672 c,EPIC 212587672,,2.32,0.98,2.32,0.98,46.09595484,0
EPIC 212624936 b,EPIC 212624936,,1.2,0.93,1.2,0.93,84.57196613,0
EPIC 212624936 c,EPIC 212624936,,2.3,0.93,2.3,0.93,44.12450407,0
EPIC 212624936 c,EPIC 212624936,,2.67,0.95,2.67,0.95,38.82728903,0
EPIC 212737443 b,EPIC 212737443,,,0.67,0,0.67,#DIV/0!,0
EPIC 212737443 b,EPIC 212737443,,,0.67,0,0.67,#DIV/0!,0
EPIC 212737443 b,EPIC 212737443,0.098,2.586,0.67,2.586,0.67,28.2729423,15.71946732
EPIC 212737443 c,EPIC 212737443,0.28,2.69,0.67,2.69,0.67,27.179862,44.91276377
EPIC 220492298 b,EPIC 220492298,,0.99,0.89,0.99,0.89,98.10237844,0
EPIC 220554210 c,K2-282,,1.48,,1.48,0,0,#DIV/0!
EPIC 220554210 c,K2-282,,1.6,1,1.6,1,68.20319849,0
EPIC 220554210 c,K2-282,,1.73,1.01,1.73,1.01,63.70888368,0
EPIC 220674823 b,EPIC 220674823,,1.816,1.02,1.816,1.02,61.29274226,0
EPIC 220674823 b,EPIC 220674823,0.0116,1.52,0.87,1.52,0.87,62.45977125,1.432931034
EPIC 220674823 b,EPIC 220674823,,1.6,0.95,1.6,0.95,64.79303857,0
EPIC 220674823 b,EPIC 220674823,0.0134,1.82,0.98,1.82,0.98,58.7596787,1.469485398
EPIC 220674823 b,EPIC 220674823,,1.8,0.97,1.8,0.97,58.80631337,0
EPIC 220674823 b,EPIC 220674823,,1.46,0.83,1.46,0.83,62.03688192,0
EPIC 220674823 b,EPIC 220674823,0.01312,1.82,0.95,1.82,0.95,56.96091303,1.484214882
EPIC 220674823 b,EPIC 220674823,,1.712,0.98,1.712,0.98,62.46648086,0
EPIC 220674823 b,EPIC 220674823,,1.669,0.91,1.669,0.91,59.49901558,0
EPIC 220674823 c,EPIC 220674823,0.1091,2.73,0.98,2.73,0.98,39.17311914,11.96424305
EPIC 220674823 c,EPIC 220674823,,2.53,0.83,2.53,0.83,35.79993976,0
EPIC 220674823 c,EPIC 220674823,,2.705,0.91,2.705,0.91,36.71122255,0
EPIC 220674823 c,EPIC 220674823,0.1071,2.77,0.95,2.77,0.95,37.42558185,12.11580898
EPIC 220674823 c,EPIC 220674823,,2.2,0.95,2.2,0.95,47.12220987,0
EPIC 220674823 c,EPIC 220674823,,2.8,0.97,2.8,0.97,37.80405859,0
EPIC 220674823 c,EPIC 220674823,,3.79,1.02,3.79,1.02,29.36876516,0
EPIC 220674823 c,EPIC 220674823,0.105,2.5,0.87,2.5,0.87,37.97554092,12.97049643
EPIC 228836835 b,EPIC 228836835,,1.1,0.32,1.1,0.32,31.74548875,0
EPIC 228836835 b,EPIC 228836835,,1.27,0.42,1.27,0.42,36.08862157,0
EPIC 246851721 b,EPIC 246851721,0.07229,11.781,1.59,11.781,1.59,14.72786155,4.886159645
EPIC 246851721 b,EPIC 246851721,,13.274,1.74,13.274,1.74,14.30448279,0
EPIC 248847494 b,EPIC 248847494,4.5,12.442,2.7,12.442,2.7,23.6809048,179.1163793
EPIC 249893012 b,EPIC 249893012,0.047,1.95,1.71,1.95,1.71,95.69433389,2.953849062
EPIC 249893012 c,EPIC 249893012,0.13,3.67,1.71,3.67,1.71,50.84576324,8.170220811
EPIC 249893012 d,EPIC 249893012,0.22,3.94,1.71,3.94,1.71,47.3614089,13.82652753
FU Tau b,FU Tau,800,,,0,0,#DIV/0!,#DIV/0!
G 264-012 b,G 264-012,0.02279,,0.3,0,0.3,#DIV/0!,8.164124569
G 264-012 c,G 264-012,0.0525,,0.3,0,0.3,#DIV/0!,18.80721983
G 9-40 b,G 9-40,0.0385,2.025,0.31,2.025,0.31,16.70557356,13.34705923
G 9-40 b,G 9-40,,2.061,0.32,2.061,0.32,16.9432497,0
G 9-40 b,G 9-40,,,0.31,0,0.31,#DIV/0!,0
GJ 1002 b,GJ 1002,0.0457,,0.14,0,0.14,#DIV/0!,35.08122229
GJ 1002 c,GJ 1002,0.0738,,0.14,0,0.14,#DIV/0!,56.65195197
GJ 1061 b,GJ 1061,0.021,,0.16,0,0.16,#DIV/0!,14.10541487
GJ 1061 c,GJ 1061,0.035,,0.16,0,0.16,#DIV/0!,23.50902478
GJ 1061 d,GJ 1061,0.054,,0.16,0,0.16,#DIV/0!,36.27106681
GJ 1132 b,GJ 1132,,1.16,0.21,1.16,0.21,19.75540922,0
GJ 1132 b,GJ 1132,,,,0,0,#DIV/0!,#DIV/0!
GJ 1132 b,GJ 1132,0.01533,1.43,0.26,1.43,0.26,19.84093047,6.336586373
GJ 1132 b,GJ 1132,0.0153,1.13,0.21,1.13,0.21,20.27988911,7.829944581
GJ 1132 b,GJ 1132,,1.215,0.23,1.215,0.23,20.65742967,0
GJ 1132 c,GJ 1132,0.0476,,0.21,0,0.21,#DIV/0!,24.35982759
GJ 1148 b,GJ 1148,0.166,,0.36,0,0.36,#DIV/0!,49.55553161
GJ 1148 b,GJ 1148,0.163506,,0.36,0,0.36,#DIV/0!,48.81100453
GJ 1148 b,GJ 1148,0.1686,,0.37,0,0.37,#DIV/0!,48.9713863
GJ 1148 c,GJ 1148,0.912,,0.36,0,0.36,#DIV/0!,272.2568966
GJ 1148 c,GJ 1148,0.9302,,0.37,0,0.37,#DIV/0!,270.1849557
GJ 1214 b,GJ 1214,,,,0,0,#DIV/0!,#DIV/0!
GJ 1214 b,GJ 1214,,,0.2,0,0.2,#DIV/0!,0
GJ 1214 b,GJ 1214,,,0.21,0,0.21,#DIV/0!,0
GJ 1214 b,GJ 1214,,,0.22,0,0.22,#DIV/0!,0
GJ 1214 b,GJ 1214,,2.64,0.21,2.64,0.21,8.680407081,0
GJ 1214 b,GJ 1214,,2.74,0.21,2.74,0.21,8.363603903,0
GJ 1214 b,GJ 1214,,,0.21,0,0.21,#DIV/0!,0
GJ 1214 b,GJ 1214,,2.27,0.21,2.27,0.21,10.0952752,0
GJ 1214 b,GJ 1214,,,0.21,0,0.21,#DIV/0!,0
GJ 1214 b,GJ 1214,,2.678,0.21,2.678,0.21,8.557234763,0
GJ 1214 b,GJ 1214,,,0.21,0,0.21,#DIV/0!,0
GJ 1214 b,GJ 1214,,,0.21,0,0.21,#DIV/0!,0
GJ 1214 b,GJ 1214,0.0149,2.742,0.21,2.742,0.21,8.357503535,7.625240148
GJ 1214 b,GJ 1214,,2.61,0.2,2.61,0.2,8.362077976,0
GJ 1214 b,GJ 1214,,2.65,0.18,2.65,0.18,7.412272138,0
GJ 1214 b,GJ 1214,0.01411,2.847,0.22,2.847,0.22,8.432569677,6.892723942
GJ 1252 b,GJ 1252,,1.14,0.39,1.14,0.39,37.33227707,0
GJ 1252 b,GJ 1252,0.00915,1.18,0.39,1.18,0.39,36.06677615,2.521407493
GJ 1252 b,GJ 1252,,,0.39,0,0.39,#DIV/0!,0
GJ 1252 b,GJ 1252,0.00916,1.193,0.39,1.193,0.39,35.67376015,2.52416313
GJ 1265 b,GJ 1265,0.026,,0.19,0,0.19,#DIV/0!,14.70639746
GJ 143 b,GJ 143,0.1915,2.61,0.69,2.61,0.69,28.84916902,29.82677099
GJ 143 b,GJ 143,,2.629,0.71,2.629,0.71,29.47083815,0
GJ 143 b,GJ 143,0.1932,,0.73,0,0.73,#DIV/0!,28.44269957
GJ 15 A b,GJ 15 A,0.0732,,0.38,0,0.38,#DIV/0!,20.70208258
GJ 15 A b,GJ 15 A,0.072,,0.38,0,0.38,#DIV/0!,20.36270417
GJ 15 A b,GJ 15 A,0.0717,,0.39,0,0.39,#DIV/0!,19.75791446
GJ 15 A c,GJ 15 A,5.4,,0.38,0,0.38,#DIV/0!,1527.202813
GJ 160.2 b,GJ 160.2,0.053,,,0,0,#DIV/0!,#DIV/0!
GJ 163 b,GJ 163,0.0607,,,0,0,#DIV/0!,#DIV/0!
GJ 163 c,GJ 163,0.1254,,,0,0,#DIV/0!,#DIV/0!
GJ 163 d,GJ 163,1.0304,,,0,0,#DIV/0!,#DIV/0!
GJ 179 b,GJ 179,2.41,,0.38,0,0.38,#DIV/0!,681.5849592
GJ 179 b,GJ 179,2.523,,0.38,0,0.38,#DIV/0!,713.5430921
GJ 180 b,GJ 180,0.092,,,0,0,#DIV/0!,#DIV/0!
GJ 180 b,GJ 180,0.103,,,0,0,#DIV/0!,#DIV/0!
GJ 180 c,GJ 180,0.129,,,0,0,#DIV/0!,#DIV/0!
GJ 180 d,GJ 180,0.309,,,0,0,#DIV/0!,#DIV/0!
GJ 2030 b,GJ 2030,0.034411,,,0,0,#DIV/0!,#DIV/0!
GJ 2030 c,GJ 2030,16.763449,,,0,0,#DIV/0!,#DIV/0!
GJ 2056 b,GJ 2056,0.283,,,0,0,#DIV/0!,#DIV/0!
GJ 229 A c,GJ 229,0.339,,,0,0,#DIV/0!,#DIV/0!
GJ 229 A c,GJ 229,0.384214,,,0,0,#DIV/0!,#DIV/0!
GJ 229 b,GJ 229,0.97,,,0,0,#DIV/0!,#DIV/0!
GJ 229 b,GJ 229,0.898,,,0,0,#DIV/0!,#DIV/0!
GJ 229 b,GJ 229,1.086215,,,0,0,#DIV/0!,#DIV/0!
GJ 251 b,GJ 251,0.0818,,0.36,0,0.36,#DIV/0!,24.41953305
GJ 27.1 b,GJ 27.1,0.101,,,0,0,#DIV/0!,#DIV/0!
GJ 273 b,GJ 273,0.091101,,0.29,0,0.29,#DIV/0!,33.76071987
GJ 273 c,GJ 273,0.036467,,0.29,0,0.29,#DIV/0!,13.51414553
GJ 3021 b,GJ 3021,0.49,,0.9,0,0.9,#DIV/0!,58.51135057
GJ 3082 b,GJ 3082,0.079,,,0,0,#DIV/0!,#DIV/0!
GJ 3090 b,GJ 3090,,2.127,0.52,2.127,0.52,26.67844906,0
GJ 3090 b,GJ 3090,0.03165,2.13,0.52,2.13,0.52,26.64087378,6.541192391
GJ 3138 b,GJ 3138,0.0197,,0.5,0,0.5,#DIV/0!,4.234311207
GJ 3138 c,GJ 3138,0.057,,0.5,0,0.5,#DIV/0!,12.25156034
GJ 3138 d,GJ 3138,0.698,,0.5,0,0.5,#DIV/0!,150.0278793
GJ 317 b,GJ 317,1.18,,0.43,0,0.43,#DIV/0!,294.9172013
GJ 317 b,GJ 317,1.15,,,0,0,#DIV/0!,#DIV/0!
GJ 317 b,GJ 317,0.95,,,0,0,#DIV/0!,#DIV/0!
GJ 317 b,GJ 317,1.151,,,0,0,#DIV/0!,#DIV/0!
GJ 317 c,GJ 317,5.78,,0.43,0,0.43,#DIV/0!,1444.594427
GJ 317 c,GJ 317,,,,0,0,#DIV/0!,#DIV/0!
GJ 317 c,GJ 317,5.23,,,0,0,#DIV/0!,#DIV/0!
GJ 317 c,GJ 317,25,,,0,0,#DIV/0!,#DIV/0!
GJ 3222 b,GJ 3222,0.091179,,,0,0,#DIV/0!,#DIV/0!
GJ 328 b,GJ 328,4.5,,,0,0,#DIV/0!,#DIV/0!
GJ 3293 b,GJ 3293,0.1434,,0.4,0,0.4,#DIV/0!,38.52793319
GJ 3293 b,GJ 3293,0.14339,,0.4,0,0.4,#DIV/0!,38.52524644
GJ 3293 c,GJ 3293,0.364,,0.4,0,0.4,#DIV/0!,97.7975431
GJ 3293 c,GJ 3293,0.36175,,0.4,0,0.4,#DIV/0!,97.19302532
GJ 3293 d,GJ 3293,0.19394,,0.4,0,0.4,#DIV/0!,52.10674591
GJ 3293 e,GJ 3293,0.08208,,0.4,0,0.4,#DIV/0!,22.05280862
GJ 3323 b,GJ 3323,0.03282,,0.12,0,0.12,#DIV/0!,29.39299784
GJ 3323 c,GJ 3323,0.1264,,0.12,0,0.12,#DIV/0!,113.2015517
GJ 3341 b,GJ 3341,0.089,,0.44,0,0.44,#DIV/0!,21.73821513
GJ 338 B b,GJ 338 B,0.141,,0.58,0,0.58,#DIV/0!,26.12628567
GJ 3470 b,GJ 3470,0.0355,4.57,0.55,4.57,0.55,13.13321984,6.936688871
GJ 3470 b,GJ 3470,0.031,3.88,0.48,3.88,0.48,13.50001455,6.940759698
GJ 3470 b,GJ 3470,,,0.5,0,0.5,#DIV/0!,0
GJ 3470 b,GJ 3470,0.03557,4.83,0.57,4.83,0.57,12.87811947,6.706494328
GJ 3470 b,GJ 3470,,3.88,0.48,3.88,0.48,13.50001455,0
GJ 3470 b,GJ 3470,,4.363,0.5,4.363,0.5,12.50574348,0
GJ 3470 b,GJ 3470,0.0348,4.2,0.5,4.2,0.5,12.99108543,7.4799
GJ 3470 b,GJ 3470,,,0.5,0,0.5,#DIV/0!,0
GJ 3470 b,GJ 3470,,,0.5,0,0.5,#DIV/0!,0
GJ 3470 b,GJ 3470,0.03596,4.32,0.53,4.32,0.53,13.38803526,7.291726415
GJ 3473 b,GJ 3473,,1.122,0.35,1.122,0.35,34.04081208,0
GJ 3473 b,GJ 3473,0.01589,1.264,0.36,1.264,0.36,31.07993855,4.743598779
GJ 3473 c,GJ 3473,0.0876,,0.36,0,0.36,#DIV/0!,26.15099138
GJ 3512 b,GJ 3512,0.338,,0.14,0,0.14,#DIV/0!,259.4628695
GJ 3512 b,GJ 3512,0.337,,0.14,0,0.14,#DIV/0!,258.6952278
GJ 3512 c,GJ 3512,1.292,,0.14,0,0.14,#DIV/0!,991.7929803
GJ 357 b,GJ 357,,1.217,0.36,1.217,0.36,32.28023199,0
GJ 357 b,GJ 357,0.035,1.217,0.34,1.217,0.34,30.48688577,11.06307049
GJ 357 c,GJ 357,0.061,,0.34,0,0.34,#DIV/0!,19.28135142
GJ 357 d,GJ 357,0.204,,0.34,0,0.34,#DIV/0!,64.48189655
GJ 3634 b,GJ 3634,0.0287,,0.43,0,0.43,#DIV/0!,7.172986167
GJ 367 b,GJ 367,,1.028,0.46,1.028,0.46,48.83030554,0
GJ 367 b,GJ 367,0.0071,0.718,0.46,0.718,0.46,69.91302798,1.658773426
GJ 3779 b,GJ 3779,0.026,,0.28,0,0.28,#DIV/0!,9.979341133
GJ 3929 b,GJ 3929,0.0252,1.09,0.32,1.09,0.32,32.03673177,8.463248922
GJ 3929 b,GJ 3929,0.02569,1.15,0.32,1.15,0.32,30.36525011,8.627812096
GJ 3929 b,GJ 3929,,1.097,0.33,1.097,0.33,32.82706363,0
GJ 3929 c,GJ 3929,0.081,,0.32,0,0.32,#DIV/0!,27.20330011
GJ 393 b,GJ 393,0.05402,,0.43,0,0.43,#DIV/0!,13.5012095
GJ 3942 b,GJ 3942,0.0608,,0.61,0,0.61,#DIV/0!,10.71174675
GJ 3998 b,GJ 3998,0.029,,0.49,0,0.49,#DIV/0!,6.360459184
GJ 3998 c,GJ 3998,0.089,,0.49,0,0.49,#DIV/0!,19.52002991
GJ 411 b,GJ 411,0.07879,,0.37,0,0.37,#DIV/0!,22.8852641
GJ 411 b,GJ 411,0.07892,,0.37,0,0.37,#DIV/0!,22.92302377
GJ 411 b,GJ 411,0.0785,,0.39,0,0.39,#DIV/0!,21.63174735
GJ 411 b,GJ 411,0.0789,,0.39,0,0.39,#DIV/0!,21.74197281
GJ 414 A b,GJ 414 A,0.2324,2.63,0.68,2.63,0.68,28.2148593,36.72939402
GJ 414 A b,GJ 414 A,0.2403,,0.67,0,0.67,#DIV/0!,38.54477548
GJ 414 A c,GJ 414 A,1.4,8.4,0.68,8.4,0.68,8.833938091,221.2614097
GJ 414 A c,GJ 414 A,1.424,,0.67,0,0.67,#DIV/0!,228.4134843
GJ 422 b,GJ 422,0.111,,,0,0,#DIV/0!,#DIV/0!
GJ 422 b,GJ 422,0.119,,,0,0,#DIV/0!,#DIV/0!
GJ 4276 b,GJ 4276,0.082,,0.41,0,0.41,#DIV/0!,21.49396552
GJ 433 b,GJ 433,0.06,,,0,0,#DIV/0!,#DIV/0!
GJ 433 b,GJ 433,0.058,,,0,0,#DIV/0!,#DIV/0!
GJ 433 b,GJ 433,0.06,,0.5,0,0.5,#DIV/0!,12.89637931
GJ 433 b,GJ 433,0.062,,,0,0,#DIV/0!,#DIV/0!
GJ 433 c,GJ 433,3.6,,,0,0,#DIV/0!,#DIV/0!
GJ 433 c,GJ 433,4.819,,,0,0,#DIV/0!,#DIV/0!
GJ 433 d,GJ 433,0.178,,,0,0,#DIV/0!,#DIV/0!
GJ 436 b,GJ 436,0.0308,4.1,0.46,4.1,0.46,12.24330588,7.195805847
GJ 436 b,GJ 436,0.0291,4.17,0.46,4.17,0.46,12.03778276,6.798634745
GJ 436 b,GJ 436,,,,0,0,#DIV/0!,#DIV/0!
GJ 436 b,GJ 436,0.029,4.26,,4.26,0,0,#DIV/0!
GJ 436 b,GJ 436,,,0.46,0,0.46,#DIV/0!,0
GJ 436 b,GJ 436,0.02887,4.091,0.45,4.091,0.45,12.00349619,6.894786494
GJ 436 b,GJ 436,,,0.45,0,0.45,#DIV/0!,0
GJ 436 b,GJ 436,0.02872,4.2,0.45,4.2,0.45,11.69197688,6.858963218
GJ 436 b,GJ 436,0.02849,,0.42,0,0.42,#DIV/0!,7.290036638
GJ 436 b,GJ 436,0.0285,,,0,0,#DIV/0!,#DIV/0!
GJ 436 b,GJ 436,0.0278,,0.43,0,0.43,#DIV/0!,6.948049318
GJ 436 b,GJ 436,,,,0,0,#DIV/0!,#DIV/0!
GJ 436 b,GJ 436,0.02872,4.222,0.46,4.222,0.46,11.88952015,6.709855322
GJ 436 b,GJ 436,,4.04,0.45,4.04,0.45,12.15502547,0
GJ 436 b,GJ 436,0.0287,3.96,0.44,3.96,0.44,12.12501307,7.009963754
GJ 436 b,GJ 436,,3.812,0.43,3.812,0.43,12.30949648,0
GJ 436 b,GJ 436,0.03109,4.191,,4.191,0,0,#DIV/0!
GJ 436 b,GJ 436,0.0278,,0.43,0,0.43,#DIV/0!,6.948049318
GJ 436 b,GJ 436,0.028,,0.43,0,0.43,#DIV/0!,6.998035285
GJ 436 b,GJ 436,0.0278,,,0,0,#DIV/0!,#DIV/0!
GJ 436 b,GJ 436,,,0.43,0,0.43,#DIV/0!,0
GJ 480 b,GJ 480,0.068,,,0,0,#DIV/0!,#DIV/0!
GJ 486 b,GJ 486,,1.324,0.33,1.324,0.33,27.19885861,0
